kind,region_id,gt_hurt,n_neg_captured,coverage,support,n_sequences_with_neg,max_sequence_share,loo_all_gt_hurt_zero,loo_max_gt_hurt,enrichment,precision,productive_safe_point,feature_a,feature_b,direction_a,direction_b,combinator,not_a_safe_rule
single_atom,S::abs_ratio_m1::high_tail::u55,21,11,0.367816091954023,32,5,0.25,0,21,1.3002717391304348,0.34375,0,abs_ratio_m1,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u57,21,9,0.3448275862068966,30,6,0.26666666666666666,0,21,1.134782608695652,0.3,0,dist_h,,high_tail,,single,1
single_atom,S::abs_ratio_m1::high_tail::u54,22,11,0.3793103448275862,33,5,0.24242424242424243,0,22,1.2608695652173911,0.3333333333333333,0,abs_ratio_m1,,high_tail,,single,1
single_atom,S::score_m_bridge::high_tail::u55,22,10,0.367816091954023,32,6,0.3125,0,21,1.1820652173913042,0.3125,0,score_m_bridge,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u56,22,9,0.3563218390804598,31,6,0.25806451612903225,0,21,1.0981767180925666,0.2903225806451613,0,dist_h,,high_tail,,single,1
single_atom,S::abs_ratio_m1::high_tail::u53,23,11,0.39080459770114945,34,5,0.23529411764705882,0,23,1.2237851662404091,0.3235294117647059,0,abs_ratio_m1,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u54,23,10,0.3793103448275862,33,6,0.24242424242424243,0,22,1.1462450592885376,0.30303030303030304,0,dist_h,,high_tail,,single,1
single_atom,S::dist_h::low_tail::u36,26,11,0.42528735632183906,37,6,0.32432432432432434,0,26,1.1245593419506463,0.2972972972972973,0,dist_h,,low_tail,,single,1
single_atom,S::resid_mean::high_tail::u50,26,11,0.42528735632183906,37,6,0.35135135135135137,0,25,1.1245593419506463,0.2972972972972973,0,resid_mean,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u49,27,11,0.4367816091954023,38,6,0.2631578947368421,0,26,1.0949656750572083,0.2894736842105263,0,dist_h,,high_tail,,single,1
single_atom,S::abs_log_h::high_tail::u48,28,11,0.4482758620689655,39,5,0.23076923076923078,0,27,1.0668896321070234,0.28205128205128205,0,abs_log_h,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u46,29,12,0.47126436781609193,41,6,0.2926829268292683,0,28,1.1071049840933191,0.2926829268292683,0,dist_h,,high_tail,,single,1
single_atom,S::abs_log_h::high_tail::u47,29,11,0.45977011494252873,40,5,0.225,0,28,1.0402173913043478,0.275,0,abs_log_h,,high_tail,,single,1
single_atom,S::resid_mean::high_tail::u44,30,13,0.4942528735632184,43,6,0.32558139534883723,0,29,1.1435793731041455,0.3023255813953488,0,resid_mean,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u45,30,12,0.4827586206896552,42,6,0.2857142857142857,0,29,1.0807453416149067,0.2857142857142857,0,dist_h,,high_tail,,single,1
single_atom,S::abs_ratio_m1::high_tail::u46,30,11,0.47126436781609193,41,5,0.21951219512195122,0,29,1.0148462354188759,0.2682926829268293,0,abs_ratio_m1,,high_tail,,single,1
single_atom,S::abs_ratio_m1::high_tail::u43,31,13,0.5057471264367817,44,6,0.22727272727272727,0,30,1.1175889328063242,0.29545454545454547,0,abs_ratio_m1,,high_tail,,single,1
single_atom,S::abs_log_h::high_tail::u41,32,14,0.5287356321839081,46,6,0.21739130434782608,0,30,1.1512287334593574,0.30434782608695654,0,abs_log_h,,high_tail,,single,1
single_atom,S::abs_log_h::high_tail::u40,33,14,0.5402298850574713,47,6,0.2127659574468085,0,31,1.1267345050878814,0.2978723404255319,0,abs_log_h,,high_tail,,single,1
single_atom,S::abs_ratio_m1::high_tail::u37,34,16,0.5747126436781609,50,6,0.22,0,32,1.2104347826086956,0.32,0,abs_ratio_m1,,high_tail,,single,1
single_atom,S::abs_log_h::high_tail::u38,34,15,0.5632183908045977,49,6,0.20408163265306123,0,32,1.157941437444543,0.30612244897959184,0,abs_log_h,,high_tail,,single,1
single_atom,S::abs_log_h::high_tail::u35,35,17,0.5977011494252874,52,6,0.23076923076923078,0,33,1.2366220735785953,0.3269230769230769,0,abs_log_h,,high_tail,,single,1
single_atom,S::abs_ratio_m1::high_tail::u30,39,18,0.6551724137931034,57,6,0.22807017543859648,0,37,1.194508009153318,0.3157894736842105,0,abs_ratio_m1,,high_tail,,single,1
single_atom,S::dist_h::high_tail::u31,39,17,0.6436781609195402,56,7,0.25,0,37,1.1482919254658384,0.30357142857142855,0,dist_h,,high_tail,,single,1
single_atom,S::abs_log_h::high_tail::u29,40,18,0.6666666666666666,58,6,0.22413793103448276,0,38,1.1739130434782608,0.3103448275862069,0,abs_log_h,,high_tail,,single,1
