clause_id,n_folds_selected,selection_frequency,worst_holdout_gt_hurt,n_folds_holdout_gt_zero,n_folds_holdout_productive,sum_holdout_n_neg,nested_loso_portability_ok
AND::score_m_bridge::low_tail::t0.12457010746::abs_log_h::high_tail::t0.27826962471,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.12457010746::abs_log_h::high_tail::t0.380730289221,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.138738501072::abs_log_h::high_tail::t0.27826962471,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.138738501072::abs_log_h::high_tail::t0.380730289221,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.145949050784::abs_log_h::high_tail::t0.380730289221,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.152856138349::abs_log_h::high_tail::t0.380730289221,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.16759930253::abs_log_h::high_tail::t0.380730289221,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.082705932856::abs_log_h::low_tail::t0.006314496323,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.082705932856::abs_log_h::low_tail::t0.009772189707,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.096744535863::abs_log_h::low_tail::t0.006314496323,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.096744535863::abs_log_h::low_tail::t0.009772189707,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.057362759858::dist_h::high_tail::t0.038242764771,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.096744535863::abs_ratio_m1::high_tail::t0.273691833019,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.096744535863::abs_ratio_m1::high_tail::t0.334022116661,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.106039814651::abs_ratio_m1::high_tail::t0.273691833019,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.106039814651::abs_ratio_m1::high_tail::t0.334022116661,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.11631911248::abs_ratio_m1::high_tail::t0.273691833019,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.11631911248::abs_ratio_m1::high_tail::t0.334022116661,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.121946451068::abs_ratio_m1::high_tail::t0.273691833019,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.121946451068::abs_ratio_m1::high_tail::t0.334022116661,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.12457010746::abs_ratio_m1::high_tail::t0.273691833019,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.12457010746::abs_ratio_m1::high_tail::t0.334022116661,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.138738501072::abs_ratio_m1::high_tail::t0.273691833019,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.138738501072::abs_ratio_m1::high_tail::t0.334022116661,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.082705932856::abs_ratio_m1::low_tail::t0.006313502789,1,0.14285714285714285,0,1,0,0,0
AND::score_m_bridge::low_tail::t0.082705932856::abs_ratio_m1::low_tail::t0.009743118286,1,0.14285714285714285,0,1,0,0,0
