track_key,cand_id,gt_lost,gt_cand,gap,lost_last_frame,cand_first_frame,d_h,bits,violated,motion_violated,height_violated,log_h_ratio,speed_mismatch,dir_cos,resid_mean,score_m_bridge,bridge_dist,dist_h,vis_mean,frac_vis_eq_0,occlusion_strong_operational,signal_ok,foot_euclid_px,reentry_truncation_any,nearby_min_foot_dist_reentry,cam_median_foot_disp_px
MOT17-10-SDP|455,468,41,41,57,114,171,4,10010101,bridge_dist|dist_h|resid_mean|speed_mismatch,resid_mean|speed_mismatch,,0.006606134677117269,0.08595848922556658,0.9641842931819048,5.980521465573062,4.286207448768069,5.979898565566743,3.5289772278394054,0.1932238142857143,0.35714285714285715,True,True,213.679571145676,False,33.55964838909967,180.23595645708434
MOT17-10-SDP|459,498,29,29,116,160,276,3,11110001,resid_mean|dir_cos|speed_mismatch,resid_mean|dir_cos|speed_mismatch,,0.541222092440556,0.04101348632390175,-0.8255088444544604,5.984298174867677,3.331098015688252,2.024788660512916,0.5547429121296215,0.6534857391304347,0.0,False,True,71.62285738505544,False,33.8710791088799,123.90888732938916
MOT17-10-SDP|467,489,71,71,72,168,240,3,11011001,dist_h|dir_cos|speed_mismatch,dir_cos|speed_mismatch,,0.05436400671512813,0.03434879908106268,-0.9486645768376765,5.279561724542736,4.5408385788089785,2.820774225548746,3.0740121024556104,0.03057460563380282,0.8028169014084507,True,True,179.29175587572348,False,18.439088914585774,131.05056276109616
MOT17-10-SDP|467,494,71,71,97,168,265,6,00010001,score_m_bridge|bridge_dist|dist_h|resid_mean|dir_cos|speed_mismatch,resid_mean|dir_cos|speed_mismatch,,0.1780243433656862,0.026931597345699575,-0.924146707160914,8.001724308277051,6.88812598418386,7.961935884424981,4.469697550146648,0.1578395,0.59375,True,True,245.9451076968193,False,12.619429464123963,193.96133635340834
MOT17-10-SDP|467,512,71,71,143,168,311,4,00110110,score_m_bridge|bridge_dist|resid_mean|gap,resid_mean,,0.003176463424843913,0.024031044433355728,-0.6834284749460396,7.387565795174544,5.695817794788478,5.943283541976607,2.459292387556721,0.33436445070422527,0.4014084507042254,True,True,147.10257416170526,False,20.886598574205422,134.17840524049313
MOT17-10-SDP|467,516,71,71,151,168,319,5,01010010,score_m_bridge|dist_h|resid_mean|dir_cos|gap,resid_mean|dir_cos,,0.014746352876287769,0.007068423394214179,-0.7371222308538118,6.997759966690946,5.512351019197314,2.9696255028877463,2.707379416274464,0.3578768133333333,0.38,True,True,163.4038846692453,False,30.103986446980738,118.41386671419366
MOT17-10-SDP|467,518,71,71,173,168,341,7,00010000,score_m_bridge|bridge_dist|dist_h|resid_mean|dir_cos|speed_mismatch|gap,resid_mean|dir_cos|speed_mismatch,,0.004330453136426949,0.026928267067761056,-0.8426608369584905,8.738458216180767,6.632614436516252,7.759294498972399,2.6258047541724805,0.32237557558139535,0.4186046511627907,True,True,157.65331744051574,False,20.223748416156685,149.5256116608646
MOT17-10-SDP|467,525,71,71,201,168,369,4,01110010,score_m_bridge|resid_mean|dir_cos|gap,resid_mean|dir_cos,,0.043282660141222215,0.017526398482070354,-0.9230449095520415,11.858849770902156,8.391693874973692,1.8930819217120505,1.9790314583512068,0.2993950825,0.45,True,True,121.18599135213614,False,20.396078054371138,185.129684275645
MOT17-10-SDP|467,531,71,71,237,168,405,7,00010000,score_m_bridge|bridge_dist|dist_h|resid_mean|dir_cos|speed_mismatch|gap,resid_mean|dir_cos|speed_mismatch,,0.03105992836781162,0.027899358071393585,-0.8809339963747268,10.395000430048698,7.913568832756355,8.045314175961193,3.283043473679093,0.2758084576271187,0.4025423728813559,True,True,199.7896105907412,False,19.90602923739438,206.56736852469453
MOT17-10-SDP|503,536,59,59,136,293,429,6,00110000,score_m_bridge|bridge_dist|resid_mean|dir_cos|speed_mismatch|gap,resid_mean|dir_cos|speed_mismatch,,0.18453022912793904,0.07027720978670098,-0.979854161493933,6.390440291577603,5.2843468039880355,6.376868179792702,1.1396341293607681,0.47707621481481477,0.26666666666666666,True,True,65.2782429297848,False,10.816653826391969,123.98487811019535
MOT17-10-SDP|503,541,59,59,165,293,458,6,00110000,score_m_bridge|bridge_dist|resid_mean|dir_cos|speed_mismatch|gap,resid_mean|dir_cos|speed_mismatch,,0.25980230590861897,0.03158172296730923,-0.9288690631942202,10.023011431786447,8.00955609757649,7.947895933379673,1.1523034286702247,0.41892233902439036,0.23780487804878048,False,True,68.82132227732916,False,21.70829334609241,127.43024064179252
