grammar,cell_id,grid_id,mask_sha256,n_neg_captured,n_gt_captured,neg_capture_rate,n_sequences_with_neg,max_neg_sequence_share,single_seq_neg_dominance,min_positive_sequence,min_positive_sequence_n_neg,productive_sequences_json
G2_and,AND::P::resid_mean::high_tail::q8::P::score_m_bridge::low_tail::q2,P::resid_mean::high_tail__score_m_bridge::low_tail,d3e02498d2ac4d159ef5e4a46075ab97e188ebfd4375ea587287f51747781464,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q9::P::score_m_bridge::low_tail::q1,P::resid_mean::high_tail__score_m_bridge::low_tail,d3e02498d2ac4d159ef5e4a46075ab97e188ebfd4375ea587287f51747781464,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q9::P::score_m_bridge::low_tail::q2,P::resid_mean::high_tail__score_m_bridge::low_tail,d3e02498d2ac4d159ef5e4a46075ab97e188ebfd4375ea587287f51747781464,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q10::P::score_m_bridge::low_tail::q1,P::resid_mean::high_tail__score_m_bridge::low_tail,d3e02498d2ac4d159ef5e4a46075ab97e188ebfd4375ea587287f51747781464,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q10::P::score_m_bridge::low_tail::q2,P::resid_mean::high_tail__score_m_bridge::low_tail,d3e02498d2ac4d159ef5e4a46075ab97e188ebfd4375ea587287f51747781464,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q18::P::score_m_bridge::low_tail::q14,P::resid_mean::high_tail__score_m_bridge::low_tail,fd1b99579c88a4f533613a38dd643f7bd7e6cf97feeac1c95a0d90e68d7ae3db,1,0,0.043478260869565216,1,1.0,1,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q19::P::score_m_bridge::low_tail::q14,P::resid_mean::high_tail__score_m_bridge::low_tail,fd1b99579c88a4f533613a38dd643f7bd7e6cf97feeac1c95a0d90e68d7ae3db,1,0,0.043478260869565216,1,1.0,1,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q19::P::score_m_bridge::low_tail::q15,P::resid_mean::high_tail__score_m_bridge::low_tail,fd1b99579c88a4f533613a38dd643f7bd7e6cf97feeac1c95a0d90e68d7ae3db,1,0,0.043478260869565216,1,1.0,1,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q19::P::score_m_bridge::low_tail::q16,P::resid_mean::high_tail__score_m_bridge::low_tail,fd1b99579c88a4f533613a38dd643f7bd7e6cf97feeac1c95a0d90e68d7ae3db,1,0,0.043478260869565216,1,1.0,1,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q19::P::score_m_bridge::low_tail::q17,P::resid_mean::high_tail__score_m_bridge::low_tail,fd1b99579c88a4f533613a38dd643f7bd7e6cf97feeac1c95a0d90e68d7ae3db,1,0,0.043478260869565216,1,1.0,1,MOT17-02-SDP,1,"{""MOT17-02-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q0,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q1,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q2,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q3,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q4,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q5,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q6,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q7,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q8,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q9,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q10,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q11,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q12,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q13,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q14,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q15,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q16,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q17,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::high_tail::q18,P::resid_mean::high_tail__score_m_bridge::high_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::low_tail::q19,P::resid_mean::high_tail__score_m_bridge::low_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
G2_and,AND::P::resid_mean::high_tail::q20::P::score_m_bridge::low_tail::q20,P::resid_mean::high_tail__score_m_bridge::low_tail,63a907235d6263b0e8c90c26916b88bbb49d49a664518e158faefbdb69f13aca,1,0,0.043478260869565216,1,1.0,1,MOT17-10-SDP,1,"{""MOT17-10-SDP"": 1}"
