experiment,family,seed,IDF1,MOTA,HOTA,DetA,AssA,IDs,FP,FN,Rcll,Prcn,FPS,latency_ms,latency_p95_ms,latency_p99_ms,latency_profile_sequence,latency_profile_frames,latency_scope,result_dir,checkpoint,interpretation
phase_a_t1_eval,temporal_inference_probe,42,69.090,72.000,60.115,62.968,57.718,627,6819,23997,78.631,92.831,103.64,9.65,12.371,14.640,MOT17-13-SDP,700,post_decode_gpu_frame_to_tracking_output,results/mamba_v14replica_t3_T1eval,runs/mamba_gt_v14replica_t3/best_flowgate0.ckpt,Phase-A checkpoint evaluated without streaming temporal inference
phase_a_t3_streaming,temporal_inference_probe,42,69.825,71.555,60.436,63.072,58.220,702,8393,22848,79.654,91.422,46.55,21.48,26.055,27.138,MOT17-13-SDP,700,post_decode_gpu_frame_to_tracking_output,results/mamba_v14replica_t3_T3eval,runs/mamba_gt_v14replica_t3/best_flowgate0.ckpt,Streaming temporal inference adds little IDF1 and large latency
t3t1_then_ssmft,curriculum_order,42,73.810,79.404,66.701,71.046,62.812,510,2935,19684,82.471,96.928,215.14,4.65,4.977,5.322,MOT17-13-SDP,700,post_decode_gpu_frame_to_tracking_output,results/mamba_v14replica_t3t1_ssmft,runs/mamba_gt_v14replica_t3t1_ssmft/best.ckpt,Full-gradient fine-tuning after shaping erases association gains
ssmft_then_t3t1,curriculum_order,42,74.342,78.788,66.920,70.665,63.598,543,3028,20250,81.967,96.815,204.91,4.88,5.353,5.745,MOT17-13-SDP,700,post_decode_gpu_frame_to_tracking_output,results/mamba_v14replica_ssmft_t3t1,runs/mamba_gt_v14replica_ssmft_t3_t1/best.ckpt,Shaping last partially restores association but not the T3-to-T1 optimum
soup_alpha_025,weight_interpolation,mixed,73.762,78.469,66.713,70.082,63.738,534,3488,20157,82.050,96.353,218.18,4.58,4.828,4.941,MOT17-13-SDP,700,post_decode_gpu_frame_to_tracking_output,results/mamba_soup_a25,runs/mamba_soup_ssmft_t3t1_a25.ckpt,No interpolation synergy
soup_alpha_050,weight_interpolation,mixed,74.098,78.366,66.700,70.141,63.665,493,3114,20687,81.578,96.713,217.89,4.59,4.907,5.133,MOT17-13-SDP,700,post_decode_gpu_frame_to_tracking_output,results/mamba_soup_a50,runs/mamba_soup_ssmft_t3t1_a50.ckpt,No interpolation synergy
soup_alpha_075,weight_interpolation,mixed,73.913,78.107,66.242,69.864,63.035,499,3154,20932,81.360,96.663,215.95,4.63,4.995,5.633,MOT17-13-SDP,700,post_decode_gpu_frame_to_tracking_output,results/mamba_soup_a75,runs/mamba_soup_ssmft_t3t1_a75.ckpt,Shallow valley before the narrow T3-to-T1 endpoint
