quantity,slice,quantile,offline_quantile,consumer_a_quantile,absolute_error,relative_error,headline
fwd_r,S_A_FP,q85,7.1230260078,7.6112618052,0.4882357974,0.0685433125,1
fwd_r,S_A_FP,q90,8.7790528326,9.5261815919,0.7471287593,0.0851035725,0
fwd_r,S_A_FP,q95,12.3019684774,13.9018566165,1.599888139,0.1300513932,0
fwd_r,gap_1_10,q50,2.0182810382,2.1825237472,0.164242709,0.0813775217,0
fwd_r,gap_1_10,q70,3.8083901396,4.0708608863,0.2624707467,0.0689190805,0
fwd_r,gap_1_10,q85,6.5281068289,6.7853674922,0.2572606633,0.0394081577,1
fwd_r,gap_1_10,q90,7.8549535393,8.4683108555,0.6133573162,0.0780854162,0
fwd_r,gap_1_10,q95,11.152945773,12.068491196,0.9155454231,0.0820900094,0
fwd_r,gap_11_26,q50,2.5774325806,2.8439450534,0.2665124729,0.1034023062,0
fwd_r,gap_11_26,q70,4.611863768,5.0460700255,0.4342062575,0.0941498447,0
fwd_r,gap_11_26,q85,7.16432092,7.7685645434,0.6042436234,0.0843406696,1
fwd_r,gap_11_26,q90,9.2672171563,10.0279610056,0.7607438493,0.0820897834,0
fwd_r,gap_11_26,q95,12.8040342627,14.2996614631,1.4956272005,0.1168090595,0
bwd_r,S_A_overall,q50,2.0909504081,2.173761195,0.082810787,0.0396043764,0
bwd_r,S_A_overall,q70,3.9763750647,4.2017626649,0.2253876002,0.0566816753,0
bwd_r,S_A_overall,q85,6.4533844551,6.6810754067,0.2276909516,0.0352824093,1
bwd_r,S_A_overall,q90,8.0287282913,8.4174030558,0.3886747644,0.0484105017,0
bwd_r,S_A_overall,q95,11.7433759947,12.6108575735,0.8674815788,0.0738698632,0
bwd_r,S_A_GT,q50,0.3053477967,0.3010859091,0.0042618876,0.0139574859,0
bwd_r,S_A_GT,q70,0.5559989216,0.625392848,0.0693939264,0.1248094622,0
bwd_r,S_A_GT,q85,0.949753061,1.3304776587,0.3807245977,0.400866934,1
bwd_r,S_A_GT,q90,1.2474137807,1.7380653592,0.4906515785,0.3933350634,0
bwd_r,S_A_GT,q95,1.5655182483,2.2790540492,0.7135358009,0.4557824871,0
bwd_r,S_A_FP,q50,2.2379538003,2.2746217415,0.0366679412,0.0163845836,0
bwd_r,S_A_FP,q70,4.1628327517,4.3601882617,0.19735551,0.0474089452,0
bwd_r,S_A_FP,q85,6.685269932,6.8227280145,0.1374580826,0.0205613362,1
bwd_r,S_A_FP,q90,8.2748217957,8.6231304231,0.3483086274,0.0420925835,0
bwd_r,S_A_FP,q95,11.9341871674,12.7390736742,0.8048865068,0.0674437643,0
bwd_r,gap_1_10,q50,1.955667742,2.0221570331,0.0664892911,0.0339982552,0
bwd_r,gap_1_10,q70,3.6626689502,3.7577618571,0.0950929069,0.025962736,0
bwd_r,gap_1_10,q85,6.3434652864,6.4913030927,0.1478378063,0.0233055278,1
bwd_r,gap_1_10,q90,7.6145936413,8.0118558584,0.3972622171,0.0521711645,0
bwd_r,gap_1_10,q95,10.9310657551,11.2347685262,0.303702771,0.0277834548,0
bwd_r,gap_11_26,q50,2.1973537509,2.2661725639,0.068818813,0.0313189503,0
bwd_r,gap_11_26,q70,4.233855414,4.3833953312,0.1495399172,0.035320034,0
bwd_r,gap_11_26,q85,6.5384252292,6.7905011775,0.2520759483,0.0385530062,1
bwd_r,gap_11_26,q90,8.3826497307,8.7923594155,0.4097096848,0.0488759161,0
bwd_r,gap_11_26,q95,12.0826967408,12.9983718429,0.9156751022,0.075784001,0
