model_id,gap_bin,n,gt,bridge_dist_auc,e_motion_auc,q_motion_auc,retained,low_support
M1P-GLOBAL-CV,1-10,1037,53,0.9628010431047707,0.9232627703635526,0.9169542874674029,True,False
M1P-GLOBAL-CV,11-26,1524,64,0.9192958047945206,0.8834332191780822,0.8709974315068493,True,False
M2P-GLOBAL-OU-H270,1-10,1037,53,0.9628010431047707,0.9232819450836017,0.9170118116275502,True,False
M2P-GLOBAL-OU-H270,11-26,1524,64,0.9192958047945206,0.8837114726027397,0.8714362157534247,True,False
M2P-GLOBAL-OU-H90,1-10,1037,53,0.9628010431047707,0.9236079153244363,0.9170501610676484,True,False
M2P-GLOBAL-OU-H90,11-26,1524,64,0.9192958047945206,0.8839790239726028,0.8718642979452055,True,False
M2P-GLOBAL-OU-H30,1-10,1037,53,0.9628010431047707,0.924432428286547,0.9178746740297592,True,False
M2P-GLOBAL-OU-H30,11-26,1524,64,0.9192958047945206,0.8844606164383562,0.8727097602739726,True,False
