cell_code,bits_atom0_first,n_gt_tracks,n_fp_rows
0,0000,0,3639
1,1000,0,263
2,0100,0,292
3,1100,2,1204
4,0010,1,1414
5,1010,0,538
6,0110,0,194
7,1110,3,3342
8,0001,5,3670
9,1001,1,132
10,0101,4,520
11,1101,10,1147
12,0011,9,871
13,1011,3,343
14,0111,6,262
15,1111,204,3618
