cell_code,bits_atom0_first,n_gt_tracks,n_fp_rows
0,00000000,0,1055
1,10000000,0,20
2,01000000,0,44
3,11000000,0,1
4,00100000,0,582
5,10100000,0,78
6,01100000,0,14
7,11100000,0,12
8,00010000,1,676
9,10010000,0,1
10,01010000,0,65
11,11010000,0,5
12,00110000,1,250
13,10110000,0,46
14,01110000,1,26
15,11110000,0,18
17,10001000,0,3
18,01001000,0,1
19,11001000,0,9
21,10101000,0,36
23,11101000,0,70
25,10011000,0,2
26,01011000,0,3
27,11011000,0,6
29,10111000,1,16
31,11111000,0,45
32,00000100,0,406
33,10000100,0,28
34,01000100,0,34
35,11000100,0,4
36,00100100,1,386
37,10100100,0,129
38,01100100,0,49
39,11100100,0,24
40,00010100,2,380
41,10010100,0,6
42,01010100,0,71
43,11010100,0,3
44,00110100,4,291
45,10110100,1,66
46,01110100,2,43
47,11110100,1,25
48,00001100,0,4
49,10001100,0,5
50,01001100,0,16
51,11001100,1,52
52,00101100,0,1
53,10101100,0,24
54,01101100,0,1
55,11101100,0,127
56,00011100,0,2
57,10011100,0,4
58,01011100,0,30
59,11011100,0,20
61,10111100,0,17
62,01111100,1,0
63,11111100,4,89
64,00000010,0,441
65,10000010,0,28
66,01000010,0,46
67,11000010,0,5
68,00100010,0,145
69,10100010,0,55
70,01100010,0,50
71,11100010,0,30
72,00010010,0,513
73,10010010,0,15
74,01010010,2,45
75,11010010,0,2
76,00110010,1,123
77,10110010,0,64
78,01110010,1,74
79,11110010,0,29
80,00001010,0,10
81,10001010,0,48
82,01001010,0,5
83,11001010,0,45
85,10101010,0,43
87,11101010,0,240
88,00011010,0,21
89,10011010,0,20
90,01011010,0,9
91,11011010,3,64
93,10111010,0,24
95,11111010,5,274
96,00000110,0,231
97,10000110,0,7
98,01000110,0,26
99,11000110,0,1
100,00100110,0,110
101,10100110,0,51
102,01100110,0,46
103,11100110,0,52
104,00010110,0,370
105,10010110,0,10
106,01010110,0,26
107,11010110,0,6
108,00110110,3,90
109,10110110,0,40
110,01110110,1,53
111,11110110,0,51
112,00001110,0,30
113,10001110,0,18
114,01001110,0,31
115,11001110,0,183
117,10101110,0,23
119,11101110,1,546
120,00011110,0,75
121,10011110,0,22
122,01011110,0,57
123,11011110,2,181
125,10111110,0,15
127,11111110,15,557
128,00000001,0,795
129,10000001,0,7
130,01000001,0,5
131,11000001,0,1
132,00100001,0,122
133,10100001,0,6
134,01100001,0,9
135,11100001,0,5
136,00010001,2,458
137,10010001,0,2
138,01010001,0,40
139,11010001,0,2
140,00110001,0,58
141,10110001,0,2
142,01110001,0,12
143,11110001,3,7
144,00001001,0,81
145,10001001,0,30
146,01001001,0,12
147,11001001,0,196
148,00101001,0,25
149,10101001,0,37
150,01101001,0,7
151,11101001,1,733
152,00011001,0,31
153,10011001,0,7
154,01011001,0,10
155,11011001,1,79
156,00111001,0,7
157,10111001,1,12
158,01111001,0,6
159,11111001,9,348
160,00000101,0,125
161,10000101,0,17
162,01000101,0,12
164,00100101,1,27
165,10100101,0,15
166,01100101,0,8
167,11100101,0,1
168,00010101,0,207
169,10010101,1,6
170,01010101,1,44
171,11010101,0,1
172,00110101,0,24
173,10110101,0,10
174,01110101,0,14
175,11110101,0,1
176,00001101,0,29
177,10001101,0,21
178,01001101,0,24
179,11001101,1,198
180,00101101,0,9
181,10101101,0,24
182,01101101,0,3
183,11101101,1,470
184,00011101,0,28
185,10011101,0,8
186,01011101,1,62
187,11011101,3,241
189,10111101,0,7
190,01111101,0,7
191,11111101,52,562
192,00000011,0,191
193,10000011,0,2
194,01000011,0,5
195,11000011,0,1
196,00100011,0,5
197,10100011,0,2
198,01100011,0,4
200,00010011,0,385
201,10010011,0,2
202,01010011,0,7
204,00110011,0,19
205,10110011,0,4
206,01110011,0,13
207,11110011,0,3
208,00001011,0,64
209,10001011,0,24
210,01001011,0,4
211,11001011,0,197
213,10101011,0,13
215,11101011,0,394
216,00011011,0,48
217,10011011,0,19
218,01011011,0,5
219,11011011,1,133
220,00111011,0,2
221,10111011,0,10
222,01111011,0,3
223,11111011,31,559
224,00000111,0,112
226,01000111,0,5
228,00100111,0,2
230,01100111,0,3
231,11100111,0,2
232,00010111,1,340
234,01010111,0,6
235,11010111,0,1
236,00110111,0,7
237,10110111,0,3
238,01110111,1,11
239,11110111,0,7
240,00001111,0,65
241,10001111,0,5
242,01001111,0,22
243,11001111,0,311
245,10101111,0,2
247,11101111,1,636
248,00011111,0,136
249,10011111,0,8
250,01011111,0,40
251,11011111,2,403
253,10111111,0,7
255,11111111,117,1043
