cell_code,bits_atom0_first,n_gt_tracks,n_fp_rows
0,00000,0,3356
1,10000,0,109
2,01000,0,177
3,11000,0,13
4,00100,1,1379
5,10100,0,336
6,01100,0,183
7,11100,0,126
8,00010,5,3329
9,10010,1,42
10,01010,3,304
11,11010,0,20
12,00110,9,862
13,10110,1,235
14,01110,5,246
15,11110,4,141
16,00001,0,283
17,10001,0,154
18,01001,0,115
19,11001,2,1191
20,00101,0,35
21,10101,0,202
22,01101,0,11
23,11101,3,3216
24,00011,0,341
25,10011,0,90
26,01011,1,216
27,11011,10,1127
28,00111,0,9
29,10111,2,108
30,01111,1,16
31,11111,203,3477
