theta_dist_h,theta_abs_log_h_ratio,n_gt_exposed_tracks,n_gt_hurt_offline_tracks,n_gt_hurt_runtime_tracks,l_gt_offline,l_gt_runtime,ucb_offline,ucb_runtime,offline_safe,runtime_safe,n_fp_exposed_pairs,n_fp_removed_offline_pairs,n_fp_removed_runtime_pairs,g_fp_offline,g_fp_runtime,active_offline_safe,dist_direction_flips,ratio_direction_flips,region_jaccard,unjoined_m,v5_coverage_pass
0.2,0.05,116,96,97,0.8275862068965517,0.8362068965517241,0.882712490840224,0.8900051390126065,False,False,1373,1359,1362,0.9898033503277495,0.9919883466860888,False,57,310,0.973005398920216,862,False
0.2,0.1,116,86,86,0.7413793103448276,0.7413793103448276,0.8072867954840186,0.8072867954840186,False,False,1373,1342,1351,0.9774217042971595,0.9839766933721777,False,57,384,0.9653495440729484,845,False
0.2,0.15,116,80,80,0.6896551724137931,0.6896551724137931,0.7603096426798721,0.7603096426798721,False,False,1373,1339,1344,0.9752367079388201,0.9788783685360525,False,57,323,0.9638258736971184,839,False
0.2,0.2,116,79,77,0.6810344827586207,0.6637931034482759,0.7523762144348469,0.7364265768528735,False,False,1373,1334,1333,0.9715950473415877,0.9708667152221413,False,57,302,0.9653465346534653,835,False
0.2,0.25,116,79,75,0.6810344827586207,0.646551724137931,0.7523762144348469,0.7203702402939518,False,False,1373,1331,1327,0.9694100509832484,0.9664967225054625,False,57,319,0.966438781852082,831,False
0.2,0.3,116,79,75,0.6810344827586207,0.646551724137931,0.7523762144348469,0.7203702402939518,False,False,1373,1330,1322,0.9686817188638019,0.9628550619082301,False,57,272,0.9694323144104804,828,False
0.2,0.35,116,79,75,0.6810344827586207,0.646551724137931,0.7523762144348469,0.7203702402939518,False,False,1373,1327,1316,0.9664967225054625,0.9584850691915513,False,57,279,0.9687304565353346,827,False
0.2,0.4,116,79,72,0.6810344827586207,0.6206896551724138,0.7523762144348469,0.6960938483024053,False,False,1373,1325,1314,0.9650400582665696,0.9570284049526584,False,57,235,0.9668127739511584,825,False
0.2,0.45,116,79,72,0.6810344827586207,0.6206896551724138,0.7523762144348469,0.6960938483024053,False,False,1373,1324,1310,0.9643117261471231,0.9541150764748726,False,57,234,0.9661442006269593,824,False
0.2,0.5,116,79,71,0.6810344827586207,0.6120689655172413,0.7523762144348469,0.6879521198394312,False,False,1373,1324,1308,0.9643117261471231,0.9526584122359796,False,57,186,0.9642409033877039,822,False
0.2,0.55,116,79,71,0.6810344827586207,0.6120689655172413,0.7523762144348469,0.6879521198394312,False,False,1373,1324,1308,0.9643117261471231,0.9526584122359796,False,57,125,0.9642409033877039,821,False
0.2,0.6,116,79,71,0.6810344827586207,0.6120689655172413,0.7523762144348469,0.6879521198394312,False,False,1373,1324,1308,0.9643117261471231,0.9526584122359796,False,57,96,0.9642409033877039,821,False
0.3,0.05,116,92,92,0.7931034482758621,0.7931034482758621,0.85304291036298,0.85304291036298,False,False,1373,1349,1359,0.9825200291332847,0.9898033503277495,False,67,310,0.9602649006622517,853,False
0.3,0.1,116,80,76,0.6896551724137931,0.6551724137931034,0.7603096426798721,0.7284114925989438,False,False,1373,1324,1343,0.9643117261471231,0.9781500364166059,False,67,384,0.9539028887523049,826,False
0.3,0.15,116,69,67,0.5948275862068966,0.5775862068965517,0.6715962352781651,0.6551455841013422,False,False,1373,1313,1330,0.956300072833212,0.9686817188638019,False,67,323,0.9530956848030019,815,False
0.3,0.2,116,65,63,0.5603448275862069,0.5431034482758621,0.6386019665458771,0.6219667981685589,False,False,1373,1302,1312,0.9482884195193008,0.9555717407137655,False,67,302,0.9518072289156626,809,False
0.3,0.25,116,63,60,0.5431034482758621,0.5172413793103449,0.6219667981685589,0.5968446091115442,False,False,1373,1295,1300,0.9431900946831755,0.9468317552804079,False,67,319,0.9514066496163683,804,False
0.3,0.3,116,62,59,0.5344827586206896,0.5086206896551724,0.6136152264020083,0.5884257024484595,False,False,1373,1287,1291,0.9373634377276038,0.9402767662053897,False,67,272,0.9536082474226805,799,False
0.3,0.35,116,61,58,0.5258620689655172,0.5,0.6052411368615975,0.5799844561655612,False,False,1373,1283,1283,0.9344501092498179,0.9344501092498179,False,67,279,0.9559300064808814,797,False
0.3,0.4,116,61,54,0.5258620689655172,0.46551724137931033,0.6052411368615975,0.5459961678638798,False,False,1373,1279,1273,0.9315367807720321,0.9271667880553532,False,67,235,0.956266318537859,795,False
0.3,0.45,116,61,54,0.5258620689655172,0.46551724137931033,0.6052411368615975,0.5459961678638798,False,False,1373,1277,1268,0.9300801165331392,0.9235251274581209,False,67,234,0.9568062827225131,794,False
0.3,0.5,116,61,53,0.5258620689655172,0.45689655172413796,0.6052411368615975,0.5374431200196024,False,False,1373,1277,1263,0.9300801165331392,0.9198834668608885,False,67,186,0.9547540983606557,790,False
0.3,0.55,116,61,53,0.5258620689655172,0.45689655172413796,0.6052411368615975,0.5374431200196024,False,False,1373,1275,1263,0.9286234522942461,0.9198834668608885,False,67,125,0.9560078791858174,787,False
0.3,0.6,116,61,53,0.5258620689655172,0.45689655172413796,0.6052411368615975,0.5374431200196024,False,False,1373,1275,1263,0.9286234522942461,0.9198834668608885,False,67,96,0.9560078791858174,787,False
0.4,0.05,116,87,87,0.75,0.75,0.8150043621051317,0.8150043621051317,False,False,1373,1341,1348,0.976693372177713,0.9817916970138383,False,70,310,0.9474002418379686,846,False
0.4,0.1,116,73,69,0.6293103448275862,0.5948275862068966,0.7042110171882161,0.6715962352781651,False,False,1373,1307,1325,0.9519300801165331,0.9650400582665696,False,70,384,0.936064556176288,807,False
0.4,0.15,116,59,59,0.5086206896551724,0.5086206896551724,0.5884257024484595,0.5884257024484595,False,False,1373,1288,1310,0.9380917698470502,0.9541150764748726,False,70,323,0.9382558879694463,793,False
0.4,0.2,116,54,54,0.46551724137931033,0.46551724137931033,0.5459961678638798,0.5459961678638798,False,False,1373,1275,1285,0.9286234522942461,0.9359067734887109,False,70,302,0.9427828348504551,787,False
0.4,0.25,116,51,51,0.4396551724137931,0.4396551724137931,0.5202693625182491,0.5202693625182491,False,False,1373,1265,1270,0.9213401310997815,0.9249817916970139,False,70,319,0.9447004608294931,778,False
0.4,0.3,116,50,50,0.43103448275862066,0.43103448275862066,0.5116484301818658,0.5116484301818658,False,False,1373,1253,1257,0.9126001456664239,0.9155134741442098,False,70,272,0.9460719041278296,770,False
0.4,0.35,116,49,49,0.4224137931034483,0.4224137931034483,0.5030046112795875,0.5030046112795875,False,False,1373,1244,1242,0.9060451565914057,0.9045884923525127,False,70,279,0.9469086021505376,765,False
0.4,0.4,116,49,45,0.4224137931034483,0.3879310344827586,0.5030046112795875,0.4681968004260712,False,False,1373,1237,1226,0.9009468317552805,0.8929351784413693,False,70,235,0.9489795918367347,762,False
0.4,0.45,116,48,44,0.41379310344827586,0.3793103448275862,0.49433773994102687,0.45943558408262164,False,False,1373,1231,1216,0.8965768390386016,0.8856518572469045,False,70,234,0.9473324213406292,760,False
0.4,0.5,116,48,43,0.41379310344827586,0.3706896551724138,0.49433773994102687,0.45065011912276615,False,False,1373,1230,1209,0.8958485069191552,0.8805535324107793,False,70,186,0.9484536082474226,756,False
0.4,0.55,116,48,43,0.41379310344827586,0.3706896551724138,0.49433773994102687,0.45065011912276615,False,False,1373,1226,1208,0.8929351784413693,0.8798252002913328,False,70,125,0.9503790489317712,753,False
0.4,0.6,116,48,43,0.41379310344827586,0.3706896551724138,0.49433773994102687,0.45065011912276615,False,False,1373,1226,1208,0.8929351784413693,0.8798252002913328,False,70,96,0.9510344827586207,753,False
0.5,0.05,116,84,83,0.7241379310344828,0.7155172413793104,0.7917518677005507,0.7839365436121598,False,False,1373,1331,1339,0.9694100509832484,0.9752367079388201,False,76,310,0.9351121892055791,835,False
0.5,0.1,116,69,59,0.5948275862068966,0.5086206896551724,0.6715962352781651,0.5884257024484595,False,False,1373,1289,1303,0.9388201019664967,0.9490167516387472,False,76,384,0.9190715181932246,786,False
0.5,0.15,116,53,46,0.45689655172413796,0.39655172413793105,0.5374431200196024,0.4769340600322786,False,False,1373,1266,1280,0.922068463219228,0.9322651128914785,False,76,323,0.926575698505523,768,False
0.5,0.2,116,47,41,0.4051724137931034,0.35344827586206895,0.4856476271888483,0.4330051285167335,False,False,1373,1247,1249,0.9082301529497451,0.909686817188638,False,76,302,0.9293333333333333,761,False
0.5,0.25,116,42,37,0.3620689655172414,0.31896551724137934,0.4418400845483429,0.3974078571912472,False,False,1373,1231,1226,0.8965768390386016,0.8929351784413693,False,76,319,0.9287652645861602,751,False
0.5,0.3,116,41,36,0.35344827586206895,0.3103448275862069,0.4330051285167335,0.3884417855832339,False,False,1373,1212,1209,0.8827385287691187,0.8805535324107793,False,76,272,0.9290633608815427,741,False
0.5,0.35,116,40,35,0.3448275862068966,0.3017241379310345,0.4241448663942594,0.37944790540451523,False,False,1373,1201,1192,0.8747268754552076,0.8681718863801894,False,76,279,0.9296657381615598,735,False
